,T_amb,t_des=1,t_des=12,t_des=24
26451,2.3,330.0676615804271,338.1660224465339,355.01110505248255
26452,1.9,333.1722761155063,341.2340753191184,358.0142690698939
26453,2.1,331.62008983798995,339.70057888053066,356.51384431419245
26454,1.9,333.1722761155063,341.2340753191184,358.0142690698939
26455,2.1,331.62008983798995,339.70057888053066,356.51384431419245
26456,2.0,332.39621406371356,340.467460648597,357.2643471832305
26457,2.4,329.291360910523,337.3983519779692,354.2588727440668
26458,2.8,326.1856203846566,334.3251041166208,351.2442431320236
26459,3.3,322.302359826072,330.47793135586676,347.46329302071786
26460,3.9,317.6411287362314,325.8534298679423,342.90795820143916
26461,4.3,314.5330072074816,322.7658585279039,339.8602642601122
26462,4.5,312.97879510952856,321.2207524246245,338.3332314570894
26463,4.6,312.20165707241915,320.44787665382745,337.56892641007323
26464,4.5,312.97879510952856,321.2207524246245,338.3332314570894
26465,4.3,314.5330072074816,322.7658585279039,339.8602642601122
26466,4.4,313.75591239378235,321.99341375234474,339.09701164188306
26467,4.8,310.6473246404617,318.90149024647627,336.03874738011325
26468,5.1,308.31570688576966,316.58035517497746,333.7396066082468
26469,5.3,306.7612386903704,315.0319237104521,332.20428655838964
26470,5.2,307.53847756348836,315.80624099484453,332.9722008204956
26471,5.3,306.7612386903704,315.0319237104521,332.20428655838964
26472,5.2,307.53847756348836,315.80624099484453,332.9722008204956
26473,5.1,308.31570688576966,316.58035517497746,333.7396066082468
26474,4.8,310.6473246404617,318.90149024647627,336.03874738011325
26475,4.7,311.42449943101224,319.674788554367,336.8040984113053
26476,4.6,312.20165707241915,320.44787665382745,337.56892641007323
26477,4.2,315.31007763627633,323.5380846419403,340.6229877185919
26478,4.0,316.86414014359286,325.081872422286,342.14683702513236
26479,3.9,317.6411287362314,325.8534298679423,342.90795820143916
26480,3.9,317.6411287362314,325.8534298679423,342.90795820143916
26481,4.1,316.08712256484364,324.3100899739316,341.3851794378632
26482,4.5,312.97879510952856,321.2207524246245,338.3332314570894
26483,4.9,309.87013367202127,318.1279838368315,335.27288230480775
26484,5.6,304.4294807741765,312.70779140509995,329.897512778706
26485,6.0,301.32043373819454,309.6062862646047,326.81483035031016
26486,6.0,301.32043373819454,309.6062862646047,326.81483035031016
26487,5.5,305.2067386958146,313.4826950375681,330.66693994669305
26488,5.3,306.7612386903704,315.0319237104521,332.20428655838964
26489,4.9,309.87013367202127,318.1279838368315,335.27288230480775
26490,4.7,311.42449943101224,319.674788554367,336.8040984113053
26491,4.4,313.75591239378235,321.99341375234474,339.09701164188306
26492,4.2,315.31007763627633,323.5380846419403,340.6229877185919
26493,3.9,317.6411287362314,325.8534298679423,342.90795820143916
26494,4.0,316.86414014359286,325.081872422286,342.14683702513236
26495,3.9,317.6411287362314,325.8534298679423,342.90795820143916
26496,3.5,320.7487605013386,328.9373674334341,345.9470331718614
26497,3.6,319.97190422835536,328.1667310925986,345.1880804268201
26498,3.6,319.97190422835536,328.1667310925986,345.1880804268201
26499,3.5,320.7487605013386,328.9373674334341,345.9470331718614
