IFPEN,,IFE,
X,Y,X,Y
13353.225719464295,1.150304847357813,8889.132457542764,1.7579983144113218
14469.249034944678,1.147372081781846,10005.155773023147,1.755371045249518
15585.272350425064,1.1450503090342055,11121.17908850353,1.7528048753705467
16701.295665905443,1.1425452384380668,12237.202403983913,1.7510329961684
17817.31898138583,1.1402234656904262,13353.225719464295,1.7490778191177552
18933.34229686621,1.1380849907912838,14469.249034944678,1.7477947341782696
20049.365612346595,1.1361298137406388,15585.272350425064,1.7462672521074536
21165.388927826974,1.1340524381243289,16701.295665905443,1.7444953729053068
22281.41224330736,1.1324027574878475,17817.31898138583,1.7430289901173233
23397.43555878774,1.1306308782857006,18933.34229686621,1.741501508046507
24513.458874268126,1.1289811976492192,20049.365612346595,1.740096224541356
25629.482189748513,1.1278814105582315,21165.388927826974,1.7386909410362053
26745.50550522889,1.1262928292045826,22281.41224330736,1.737346756813887
27861.528820709278,1.1248875456994318,23397.43555878774,1.73649136685423
28977.552136189657,1.1233600636286156,24513.458874268126,1.735269381197577
30093.575451670044,1.1221380779719627,25629.482189748513,1.7345361898035851
31209.598767150423,1.1208549930324772,26745.50550522889,1.7333142041469323
32325.62208263081,1.1192053123959957,27861.528820709278,1.7328865091671037
33441.645398111184,1.1178611281736774,28977.552136189657,1.7316034242276181
34557.66871359157,1.116700241799857,30093.575451670044,1.730748034267961
35673.69202907196,1.1152338590118736,31209.598767150423,1.7297093464598061
36789.71534455234,1.114134071920886,32325.62208263081,1.7290983536314797
37905.73866003273,1.1133397812440615,33441.645398111184,1.7281207651061572
39021.7619755131,1.1119344977389107,34557.66871359157,1.726959878732337
40137.78529099349,1.1109569092135883,35673.69202907196,1.7262266873383452
41253.808606473875,1.10961272499127,36789.71534455234,1.725065800964525
42369.83192195426,1.1088184343144456,37905.73866003273,1.7241493117220352
43485.85523743463,1.1078408457891233,39021.7619755131,1.7233550210452109
44601.87855291502,1.106985455829466,40137.78529099349,1.7227440282168844
45717.901868395405,1.106007867304144,41253.808606473875,1.7223774325198884
46833.92518387579,1.1049080802131561,42369.83192195426,1.721583141843064
47949.948499356164,1.104052690253499,43485.85523743463,1.7204833547520764
49065.97181483655,1.1031362010110095,44601.87855291502,1.7197501633580847
50181.99513031694,1.1026474067483485,45717.901868395405,1.7196279647924193
51298.01844579732,1.1016087189401933,46833.92518387579,1.718833674115595
52414.041761277695,1.100631130414871,47949.948499356164,1.7183448798529337
53530.06507675808,1.1000201375865446,49065.97181483655,1.7181615820044358
54646.08839223847,1.0987370526470588,50181.99513031694,1.7170006956306154
55762.111707718854,1.0986148540813936,51298.01844579732,1.7161453056709584
56878.13502319924,1.0977594641217365,52414.041761277695,1.7156565114082973
57994.15833867961,1.0967207763135813,53530.06507675808,1.715167717145636
59110.18165416,1.0961708827680878,54646.08839223847,1.714312327185979
60226.204969640385,1.0953154928084308,55762.111707718854,1.714312327185979
61342.22828512077,1.0946434006972714,56878.13502319924,1.7142512279031463
62458.25160060114,1.0942157057174429,57994.15833867961,1.7135180365091547
63574.27491608153,1.0931159186264554,59110.18165416,1.7127237458323301
64690.298231561916,1.0926271243637942,60226.204969640385,1.7122960508525016
65806.3215470423,1.091955032252635,61342.22828512077,1.7119294551555058
66922.34486252269,1.0913440394243086,62458.25160060114,1.7116239587413427
68038.36817800306,1.0905497487474842,63574.27491608153,1.710829668064518
69154.39149348345,1.0899387559191576,64690.298231561916,1.7102797745190244
70270.41480896383,1.0892666638079986,65806.3215470423,1.7102797745190244
71386.43812444422,1.0887167702625047,66922.34486252269,1.7098520795391958
72502.46143992459,1.0881668767170107,68038.36817800306,1.708935590296706
73618.48475540498,1.0879224795856803,69154.39149348345,1.7085689945997102
74734.50807088536,1.0870059903431906,70270.41480896383,1.708263498185547
75850.53138636575,1.0862116996663662,71386.43812444422,1.7076525053572205
76966.55470184614,1.0858451039693704,72502.46143992459,1.7075914060743878
78082.57801732651,1.0852341111410437,73618.48475540498,1.7066749168318982
79198.6013328069,1.084867515444048,74734.50807088536,1.7062472218520697
80314.62464828728,1.0838899269187257,75850.53138636575,1.7056973283065757
81430.64796376767,1.0838899269187257,76966.55470184614,1.70533073260958
82546.67127924804,1.0835233312217296,78082.57801732651,1.7049030376297514
83662.69459472843,1.0826679412620726,79198.6013328069,1.7045364419327556
84778.71791020881,1.0818736505852482,80314.62464828728,1.7039254491044291
85894.7412256892,1.0817514520195828,81430.64796376767,1.703558853407433
87010.76454116958,1.0812015584740893,82546.67127924804,1.703558853407433
88126.78785664996,1.08052946636293,83662.69459472843,1.703558853407433
89242.81117213034,1.079857374251771,84778.71791020881,1.703558853407433
90358.83448761073,1.079857374251771,85894.7412256892,1.7027645627306087
91474.85780309112,1.0796740764032728,87010.76454116958,1.7021535699022823
92590.88111857149,1.0785742893122854,87720.96119647527,1.7015425770739558
