time,time,temperature
10,0,8.387096774193548
10,1,8.112903225806452
10,2,7.903225806451614
10,3,7.738709677419356
10,4,7.564516129032257
10,5,7.341935483870968
10,6,7.261290322580646
10,7,8.193548387096774
10,8,9.712903225806452
10,9,11.3
10,10,12.883870967741933
10,11,14.029032258064516
10,12,14.909677419354841
10,13,15.477419354838709
10,14,15.651612903225804
10,15,15.319354838709678
10,16,14.0
10,17,12.122580645161285
10,18,10.983870967741934
10,19,10.116129032258062
10,20,9.54516129032258
10,21,9.203225806451613
10,22,8.858064516129033
10,23,8.529032258064516
11,0,3.603333333333332
11,1,3.566666666666666
11,2,3.366666666666667
11,3,3.2266666666666666
11,4,3.113333333333333
11,5,3.0633333333333335
11,6,2.8866666666666676
11,7,3.0133333333333336
11,8,3.660000000000001
11,9,4.543333333333333
11,10,5.469999999999998
11,11,6.306666666666666
11,12,6.989999999999998
11,13,7.3966666666666665
11,14,7.503333333333334
11,15,7.036666666666664
11,16,5.8566666666666665
11,17,5.166666666666667
11,18,4.859999999999999
11,19,4.506666666666667
11,20,4.239999999999999
11,21,4.043333333333333
11,22,3.7766666666666664
11,23,3.5900000000000003
12,0,2.961290322580646
12,1,3.0166666666666666
12,2,2.83
12,3,2.7166666666666663
12,4,2.6333333333333333
12,5,2.6699999999999995
12,6,2.55
12,7,2.4366666666666665
12,8,2.6099999999999994
12,9,3.1066666666666665
12,10,3.4633333333333325
12,11,3.7866666666666675
12,12,4.123333333333332
12,13,4.286666666666665
12,14,4.2
12,15,3.8866666666666663
12,16,3.406666666666666
12,17,3.273333333333333
12,18,3.1899999999999995
12,19,3.230000000000001
12,20,3.206666666666666
12,21,3.1566666666666667
12,22,2.9733333333333336
12,23,3.01
